"","ERNnem","Host","Nematode","NematodeOrder","NematodeFamily","NematodeStrain","StageInfected","TissueInfected","FieldOrLab","Country","SoilType","AssociatedBacterium","IntermediateHost","CreationDate","ModificationDate"
"112",129,"Heteronychus arator","Heterorhabditis zealandica","Rhabditida","Heterorhabditidae","NZH","Larva","Hemocoel","Field","New Zealand","","Photorhabdus sp.","none","5/27/2097","2/12/2099"
"113",130,"Agriotes ponticus","Heterorhabditis sp.","Rhabditida","Heterorhabditidae","not maintained","Larva","Hemocoel","Field","Republica Moldova","loamy sand / vegetables, grain","Photorhabdus sp.","none","5/27/2097","2/12/2099"
"114",131,"Hoplocampa testudinae","Heterorhabditis sp.","Rhabditida","Heterorhabditidae","not maintained","Larva","Hemocoel","Field","Poland","sandy loam / orchards","Photorhabdus sp.","none","5/27/2097","2/12/2099"
"115",132,"Phyllopertha horticola","Heterorhabditis sp.","Rhabditida","Heterorhabditidae","HSH3","Larva","Hemocoel","Field","Germany","loamy sand / grassland golf courses","Photorhabdus sp.","none","5/27/2097","2/12/2099"
"116",133,"Popillia japonica","Heterorhabditis sp.","Rhabditida","Heterorhabditidae","not maintained ","Larva","Hemocoel","Field","USA","","Photorhabdus sp.","none","5/27/2097","2/12/2099"
"117",134,"Popillia japonica","Heterorhabditis sp.","Rhabditida","Heterorhabditidae","Elgria","Larva","Hemocoel","Field","USA","","Photorhabdus sp.","none","5/27/2097","2/12/2099"
"118",135,"Lepidiota crinita","Heterorhabditis sp.","Rhabditida","Heterorhabditidae","unknown","Larva","Hemocoel","Field","Australia","coarse alluvial sand grading to fine silt / sugar cane, first ratoon","Photorhabdus sp.","none","5/27/2097","2/12/2099"
"119",136,"Lepidiota negatoria","Heterorhabditis sp.","Rhabditida","Heterorhabditidae","unknown","Larva","Hemocoel","Field","Australia","coarse alluvial sand grading to fine silt / sugar cane, first ratoon","Photorhabdus sp.","none","5/27/2097","2/12/2099"
"120",137,"Lepidiota picticollis","Heterorhabditis sp.","Rhabditida","Heterorhabditidae","unknown","Larva","Hemocoel","Field","Australia","coarse alluvial sand grading to fine silt / sugar cane, first ratoon","Photorhabdus sp.","none","5/27/2097","2/12/2099"
"121",138,"Antitrogus consanguineus","Heterorhabditis sp.","Rhabditida","Heterorhabditidae","unknown","Larva","Hemocoel","Field","Australia","coarse alluvial sand grading to fine silt / sugar cane, first ratoon","Photorhabdus sp.","none","5/27/2097","2/12/2099"
"122",139,"Graphognathus leucoloma","Heterorhabditis sp.","Rhabditida","Heterorhabditidae","unknown","Larva","Hemocoel","Field","Australia","","Photorhabdus sp.","none","5/27/2097","12/28/2000"
"123",140,"Graphognathus leucoloma","Heterorhabditis sp.","Rhabditida","Heterorhabditidae","nematode 41088","Larva","Hemocoel","Field","USA, Australia","","Photorhabdus lsp.","none","5/27/2097","12/28/2000"
"124",141,"Cylas formicarius","Heterorhabditis sp.","Rhabditida","Heterorhabditidae","Tetuan","Larva","Hemocoel","Field","Cuba","","Photorhabdus sp.","none","5/27/2097","2/12/2099"
"125",142,"Pachnaeus litus","Heterorhabditis sp.","Rhabditida","Heterorhabditidae","P2M","Larva","Hemocoel","Field","Cuba","","Photorhabdus sp.","none","5/27/2097","2/3/2000"
"126",143,"Pericoptus truncatus","Heterorhabditis sp.","Rhabditida","Heterorhabditidae","unknown","Larva","Hemocoel","Field","New Zealand","edge of sand","Photorhabdus sp.","none","5/27/2097","2/12/2099"
"127",144,"Hepialus californicus","Heterorhabditis hepialus ","Rhabditida","Heterorhabditidae","hepialus (syn.)","Larva","Hemocoel","Field","USA","orchards, bush lupines, lupines","Photorhabdus sp.","none","5/27/2097","2/12/2099"
"128",145,"Gasterocercodes brasiliensis","Heterorhabditis sp.","Rhabditida","Heterorhabditidae","not maintained","Larva","Hemocoel","Field","","","Photorhabdus sp.","none","5/27/2097","2/12/2099"
"129",146,"Dilophus vulgaris","Steinernema feltiae","Rhabditida","Steinernematidae","bibionis (syn.)","Larva","Hemocoel","Field","Denmark","","Xenorhabdus bovienii","none","5/28/2097","2/12/2099"
"130",17,"Acheta domesticus","Steinernema scapterisci","Rhabditida","Steinernematidae","","Adult","hemocoel","Lab","USA","","none","none","6/3/2097","2/12/2099"
"131",18,"Scapteriscus borellii","Steinernema scapterisci","Rhabditida","Steinernematidae","","Adult","hemocoel","Lab","USA","","none","none","6/3/2097","12/28/2000"
"132",19,"Scapteriscus vicinus","Steinernema scapterisci","Rhabditida","Steinernematidae","","Adult","hemocoel","Lab","USA","","none","none","6/3/2097","2/12/2099"
"133",147,"Heteronychus arator","Heterorhabditis zealandica","Rhabditida","Heterorhabditidae","NZ","Larva","Hemocoel","Field","New Zealand","","Photorhabdus sp.","none","6/3/2097","2/12/2099"
"134",148,"Costelytra zealandica","Cephalobellus costelytrae","Rhabditida","Cephalobidae","","Larva","","Field","New Zealand","","none","","6/3/2097","2/12/2099"
"135",1,"Austrosimulium multicorne","Austromemermis namis","Stichosomida","Mermithidae","","","","Field","New Zealand","","none","","6/3/2097","2/12/2099"
"136",2,"Neocurupira hudsoni","Blepharomermis craigi","Stichosomida","Mermithidae","","","","Field","New Zealand","","none","","6/3/2097","2/12/2099"
"137",3,"Costelytra zealandica","Psammomermis canterburiensis","Stichosomida","Mermithidae","","","","Field","New Zealand","","none","","6/3/2097","2/12/2099"
"138",4,"Sirex noctilio","Delandenus siricidicola","Stichosomida","Mermithidae","","","","Field","New Zealand","","none","","6/3/2097","2/12/2099"
"139",5,"Platyzosteria novaeseelandiae","Blatticola tuapakae","Rhabditida","Thelastomatidae","","","","Field","New Zealand","","none","","6/3/2097","2/12/2099"
"140",6,"Platyzosteria novaeseelandiae","Protrellina gurri ","Rhabditida","Thelastomatidae","","","","Field","New Zealand","","none","","6/3/2097","2/12/2099"
"141",149,"Pericoptus truncatus","Tetleyus pericopti","Rhabditida","Thelastomatidae","","Larva","","Field","New Zealand","","none","","6/3/2097","2/12/2099"
"142",7,"Eudonia sabulosella","Steinernema feltiae","Rhabditida","Steinernematidae","unknown","","Hemocoel","Field","New Zealand","","Xenorhabdus bovienii","none","6/4/2097","2/12/2099"
"143",150,"Popillia japonica","Heterorhabditis bacteriophora","Rhabditida","Heterorhabditidae","HP88","Larva","Hemocoel","Field","","turf","Photorhabdus luminescens","none","6/4/2097","2/12/2099"
"144",151,"Cyclocephala borealis","Steinernema carpocapsae","Rhabditida","Steinernematidae","","Larva","hemocoel","Field","","","Xenorhabdus nematophilus","none","6/4/2097","12/28/2000"
"145",152,"Cyclocephala borealis","Heterorhabditis bacteriophora","Rhabditida","Heterorhabditidae","HP88","Larva","Hemocoel","Field","","","Photorhabdus luminescens","none","6/4/2097","12/28/2000"
"146",153,"Cyclocephala hirta","Heterorhabditis bacteriophora","Rhabditida","Heterorhabditidae","HP88","Larva","Hemocoel","Field","","","Photorhabdus luminescens","none","6/4/2097","2/12/2099"
"147",154,"Popillia japonica","Heterorhabditis bacteriophora","Rhabditida","Heterorhabditidae","unknown","Larva","Hemocoel","Field","USA","turf, potted yew","Photorhabdus luminescens","none","6/4/2097","2/12/2099"
"148",155,"Popillia japonica","Heterorhabditis sp.","Rhabditida","Heterorhabditidae","unknown","Larva","Hemocoel","Lab","","potted yew","Photorhabdus sp.","none","6/4/2097","2/12/2099"
"149",156,"Popillia japonica","Steinernema carpocapsae","Rhabditida","Steinernematidae","Breton","Larva","Hemocoel","Field","","potted yew","Xenorhabdus nematophilus","none","6/4/2097","2/12/2099"
"150",157,"Rhizotrogus majalis","Steinernema carpocapsae","Rhabditida","Steinernematidae","","Larva","hemocoel","Field","","potted yew","Xenorhabdus nematophilus","none","6/4/2097","2/12/2099"
"151",158,"Rhizotrogus majalis","Steinernema glaseri","Rhabditida","Steinernematidae","","Larva","hemocoel","Field","","potted yew","Xenorhabdus poinarii","none","6/4/2097","2/12/2099"
"152",159,"Rhizotrogus majalis","Heterorhabditis bacteriophora","Rhabditida","Heterorhabditidae","unknown","Larva","Hemocoel","Field","","potted yew","Photorhabdus luminescens","none","6/4/2097","2/12/2099"
"153",160,"Rhizotrogus majalis","Heterorhabditis sp.","Rhabditida","Heterorhabditidae","unknown","Larva","Hemocoel","Field","","potted yew","Photorhabdus sp.","none","6/4/2097","2/12/2099"
"154",161,"Phyllopertha horticola","Heterorhabditis megidis","Rhabditida","Heterorhabditidae","NLH H92.1","Larva","Hemocoel","Field","The Netherlands","sandy loam, loamy sand / grassland","Photorhabdus sp.","none","6/4/2097","2/12/2099"
"155",162,"Costelytra zealandica","Steinernema glaseri","Rhabditida","Steinernematidae","","Larva","hemocoel","Field","","pasture","Xenorhabdus poinarii","none","6/4/2097","2/12/2099"
"156",163,"Costelytra zealandica","Heterorhabditis bacteriophora","Rhabditida","Heterorhabditidae","unknown","Larva","Hemocoel","Field","","pasture","Photorhabdus luminescens","none","6/4/2097","2/12/2099"
"157",164,"Adoryphorus couloni","Steinernema glaseri","Rhabditida","Steinernematidae","","Larva","hemocoel","Field","","pasture","Xenorhabdus poinarii","none","6/4/2097","2/12/2099"
"158",165,"Alissonotum impressicolle","Steinernema glaseri","Rhabditida","Steinernematidae","","Larva","hemocoel","Field","","sugarcane","Xenorhabdus poinarii","none","6/4/2097","2/12/2099"
"159",166,"Ligyrus subtropicus","Steinernema glaseri","Rhabditida","Steinernematidae","","Larva","hemocoel","Field","","sugarcane","Xenorhabdus poinarii","none","6/4/2097","2/12/2099"
"160",167,"Alissonotum impressicolle","Heterorhabditis sp.","Rhabditida","Heterorhabditidae","unknown","Larva","Hemocoel","Field","","sugarcane","Photorhabdus sp.","none","6/4/2097","2/12/2099"
"161",168,"Ligyrus subtropicus","Steinernema carpocapsae","Rhabditida","Steinernematidae","","Larva","hemocoel","Field","","sugarcane","Xenorhabdus nematophilus","none","6/4/2097","2/12/2099"
"162",169,"Popillia japonica","Steinernema carpocapsae","Rhabditida","Steinernematidae","Agriotos","Larva","Hemocoel","Field","","potted yew","Xenorhabdus nematophilus","none","6/4/2097","2/12/2099"
"163",170,"Otiorhynchus sulcatus","Heterorhabditis bacteriophora","Rhabditida","Heterorhabditidae","","Larva","Hemocoel","Field","","cranberries","Photorhabdus sp.","none","6/4/2097","2/12/2099"
"164",171,"Otiorhynchus sulcatus","Heterorhabditis bacteriophora","Rhabditida","Heterorhabditidae","HP88","Larva","Hemocoel","Field","","","Photorhabdus sp.","none","6/4/2097","2/12/2099"
"165",172,"Otiorhynchus sulcatus","Heterorhabditis sp.","Rhabditida","Heterorhabditidae","","Larva","Hemocoel","Field","","yew","Photorhabdus sp.","none","6/4/2097","2/12/2099"
"166",173,"Otiorhynchus ovatus","Steinernema carpocapsae","Rhabditida","Steinernematidae","","Larva","Hemocoel","Field","","","Xenorhabdus bovienii","none","6/4/2097","2/12/2099"
"167",174,"Otiorhynchus ovatus","Steinernema glaseri","Rhabditida","Steinernematidae","","Larva","Hemocoel","Field","","","Xenorhabdus bovienii","none","6/4/2097","2/12/2099"
"168",175,"Otiorhynchus ovatus","Heterorhabditis bacteriophora","Rhabditida","Heterorhabditidae","","Larva","Hemocoel","Field","","","Photorhabdus sp.","none","6/4/2097","2/12/2099"
"169",176,"Diaprepes abbreviatus","Steinernema carpocapsae","Rhabditida","Steinernematidae","","Larva","Hemocoel","Field","","","Xenorhabdus nematophilus","none","6/4/2097","2/12/2099"
"170",177,"Diaprepes abbreviatus","Steinernema glaseri","Rhabditida","Steinernematidae","","Larva","Hemocoel","Field","","","Xenorhabdus bovienii","none","6/4/2097","2/12/2099"
"171",178,"Graphognathus sp.","Steinernema carpocapsae","Rhabditida","Steinernematidae","","Larva","Hemocoel","Field","","","undescribed","none","6/4/2097","2/12/2099"
"172",179,"Graphognathus sp.","Steinernema glaseri","Rhabditida","Steinernematidae","","Larva","hemocoel","Field","","","Xenorhabdus poinarii","none","6/4/2097","2/12/2099"
"173",180,"Hylobius abietis","Steinernema carpocapsae","Rhabditida","Steinernematidae","not maintained","Larva","Hemocoel","Field","","","Xenorhabdus nematophilus","none","6/4/2097","2/12/2099"
"174",181,"Curculio caryae","Steinernema carpocapsae","Rhabditida","Steinernematidae","not maintained","Larva","Hemocoel","Field","","","Xenorhabdus nematophilus","none","6/4/2097","2/12/2099"
"175",182,"Sphenophorus parvulus","Steinernema carpocapsae","Rhabditida","Steinernematidae","not maintained","Larva","Hemocoel","Field","","","Xenorhabdus nematophilus","none","6/4/2097","2/12/2099"
"176",183,"Sphenophorus parvulus","Heterorhabditis bacteriophora","Rhabditida","Heterorhabditidae","HP88","Larva","Hemocoel","Field","","","Photorhabdus sp.","none","6/4/2097","2/12/2099"
"177",8,"Anasa tristis","Steinernema carpocapsae","Rhabditida","Steinernematidae","not maintained","","hemocoel","Field","","","Xenorhabdus nematophilus","none","6/4/2097","2/12/2099"
"178",184,"Holcocerus insularis","Steinernema affinis","Rhabditida","Steinernematidae","","Larva","Hemocoel","Field","","","Xenorhabdus bovienii","none","6/4/2097","2/12/2099"
"179",9,"Amyelois transitella","Steinernema carpocapsae","Rhabditida","Steinernematidae","","","hemocoel","Field","","","Xenorhabdus nematophilus","none","6/4/2097","2/12/2099"
"180",185,"Cydia pomonella","Steinernema carpocapsae","Rhabditida","Steinernematidae","All","Larva","Hemocoel","Field","","","Xenorhabdus nematophilus","none","6/4/2097","2/12/2099"
"181",186,"Platyptilia carduidactyla","Steinernema carpocapsae","Rhabditida","Steinernematidae","","Larva","Hemocoel","Field","","","Xenorhabdus nematophilus","none","6/4/2097","2/12/2099"
"182",187,"Monochamus alternatus","Steinernema carpocapsae","Rhabditida","Steinernematidae","","Larva","Hemocoel","Field","Japan","","Xenorhabdus nematophilus","none","6/4/2097","2/12/2099"
"183",188,"Monochamus alternatus","Steinernema glaseri","Rhabditida","Steinernematidae","","Larva","hemocoel","Field","Japan","","Xenorhabdus poinarii","none","6/4/2097","2/12/2099"
"184",10,"Monochamus alternatus","Steinernema feltiae","Rhabditida","Steinernematidae","unknown","","Hemocoel","Field","Japan","","Xenorhabdus bovienii","none","6/4/2097","2/12/2099"
"185",189,"Monochamus alternatus","Heterorhabditis bacteriophora","Rhabditida","Heterorhabditidae","","Larva","Hemocoel","Field","Japan","","Photorhabdus sp.","none","6/4/2097","2/12/2099"
"186",190,"Liriomyza trifolii","Steinernema carpocapsae","Rhabditida","Steinernematidae","","Larva","Hemocoel","Lab","Japan","","Xenorhabdus nematophilus","none","6/4/2097","2/12/2099"
"187",191,"Blattella germanica","Steinernema carpocapsae","Rhabditida","Steinernematidae","","Larva","Hemocoel","Field","","","Xenorhabdus nematophilus","none","6/4/2097","2/12/2099"
"188",227,"Periplaneta americana","Heterorhabditis zealandica","Rhabditida","Heterorhabditidae","T327","Nymph","Hemocoel","Field","New Zealand","","Photorhabdus sp.","none","6/4/2097","2/12/2099"
"189",20,"Musca domestica","Heterorhabditis bacteriophora","Rhabditida","Heterorhabditidae","","Adult","Hemocoel","Field","","","Photorhabdus sp.","none","6/4/2097","2/12/2099"
"190",21,"Musca domestica","Steinernema carpocapsae","Rhabditida","Steinernematidae","","Adult","hemocoel","Field","","sucrose-baited traps","Xenorhabdus nematophilus","none","6/4/2097","2/12/2099"
"191",192,"Lycoriella auripila","Steinernema carpocapsae","Rhabditida","Steinernematidae","","Larva","hemocoel","Field","","sucrose-baited traps","Xenorhabdus nematophilus","none","6/4/2097","2/12/2099"
"192",11,"Lycoriella auripila","Steinernema feltiae","Rhabditida","Steinernematidae","unknown","","Hemocoel","Field","","","Xenorhabdus bovienii","none","6/4/2097","2/12/2099"
"193",22,"Lycoriella auripila","Heterorhabditis bacteriophora","Rhabditida","Heterorhabditidae","","Adult","Hemocoel","Field","","","Photorhabdus sp.","none","6/4/2097","2/12/2099"
"194",193,"Alphitobius diaperinus","Steinernema carpocapsae","Rhabditida","Steinernematidae","","Larva","hemocoel","Field","","","Xenorhabdus nematophilus","none","6/4/2097","2/12/2099"
"195",194,"Lissorhoptrus oryzophilus","Steinernema carpocapsae","Rhabditida","Steinernematidae","","Larva","hemocoel","Field","","","Xenorhabdus nematophilus","none","6/4/2097","2/12/2099"
"196",23,"Gryllus sp.","Steinernema scapterisci","Rhabditida","Steinernematidae","","Adult","hemocoel","Lab","USA","","none","none","6/4/2097","2/12/2099"
"197",24,"Periplaneta americana","Steinernema scapterisci","Rhabditida","Steinernematidae","","Adult","hemocoel","Lab","USA","","none","none","6/4/2097","2/12/2099"
"198",25,"Scapteriscus abbreviatus","Steinernema scapterisci","Rhabditida","Steinernematidae","","Adult","hemocoel","Lab","USA","","none","none","6/4/2097","2/12/2099"
"199",26,"Anticarsia gemmatalis","Steinernema scapterisci","Rhabditida","Steinernematidae","","Adult","hemocoel","Lab","USA","","none","none","6/4/2097","2/12/2099"
"200",27,"Feltia subterranea","Steinernema scapterisci","Rhabditida","Steinernematidae","","Adult","hemocoel","Lab","USA","","none","none","6/4/2097","2/12/2099"
"201",28,"Galleria mellonella","Steinernema scapterisci","Rhabditida","Steinernematidae","","Adult","hemocoel","Lab","USA","","none","none","6/4/2097","2/12/2099"
"202",29,"Spodoptera frugiperda","Steinernema scapterisci","Rhabditida","Steinernematidae","","Adult","hemocoel","Lab","USA","","none","none","6/4/2097","2/12/2099"
"203",30,"Apis mellifera","Steinernema scapterisci","Rhabditida","Steinernematidae","","Adult","hemocoel","Lab","USA","","none","none","6/4/2097","2/12/2099"
"204",195,"Sphenophorus venatus","Heterorhabditis bacteriophora","Rhabditida","Heterorhabditidae","UCD1","Larva","Hemocoel","Field","USA","loam, turf","Photorhabdus luminescens","none","6/5/2097","2/12/2099"
"205",196,"Cyclocephala borealis","Steinernema carpocapsae","Rhabditida","Steinernematidae","Agriotos","Larva","hemocoel","Lab","","","Xenorhabdus nematophilus","none","6/6/2097","12/28/2000"
"206",197,"Cyclocephala borealis","Steinernema carpocapsae","Rhabditida","Steinernematidae","All","Larva","hemocoel","Lab","","","Xenorhabdus nematophilus","none","6/6/2097","12/28/2000"
"207",198,"Cyclocephala borealis","Steinernema carpocapsae","Rhabditida","Steinernematidae","Breton","Larva","hemocoel","Lab","","","Xenorhabdus nematophilus","none","6/6/2097","12/28/2000"
"208",199,"Cyclocephala borealis","Steinernema carpocapsae","Rhabditida","Steinernematidae","HOP","Larva","hemocoel","Lab","","","Xenorhabdus nematophilus","none","6/6/2097","12/28/2000"
"209",200,"Cyclocephala borealis","Steinernema carpocapsae","Rhabditida","Steinernematidae","Italian","Larva","hemocoel","Lab","","","Xenorhabdus nematophilus","none","6/6/2097","12/28/2000"
"210",201,"Cyclocephala borealis","Steinernema carpocapsae","Rhabditida","Steinernematidae","Mexican","Larva","hemocoel","Lab","","","Xenorhabdus nematophilus","none","6/6/2097","12/28/2000"
"211",202,"Cyclocephala borealis","Steinernema anomali","Rhabditida","Steinernematidae","","Larva","hemocoel","Lab","","","Xenorhabdus nematophilus","none","6/6/2097","12/28/2000"
"212",203,"Cyclocephala borealis","Steinernema glaseri","Rhabditida","Steinernematidae","","Larva","hemocoel","Lab","","","Xenorhabdus nematophilus","none","6/6/2097","12/28/2000"
"213",204,"Cyclocephala borealis","Heterorhabditis bacteriophora","Rhabditida","Heterorhabditidae","NC","Larva","Hemocoel","Lab","","","Photorhabdus luminescens","none","6/6/2097","12/28/2000"
"214",205,"Cyclocephala borealis","Heterorhabditis megidis","Rhabditida","Heterorhabditidae","","Larva","Hemocoel","Lab","","","Photorhabdus luminescens","none","6/6/2097","12/28/2000"
"215",206,"Popillia japonica","Steinernema carpocapsae","Rhabditida","Steinernematidae","All","Larva","Hemocoel","Lab","","","Xenorhabdus nematophilus","none","6/6/2097","2/12/2099"
"216",207,"Popillia japonica","Steinernema carpocapsae","Rhabditida","Steinernematidae","HOP","Larva","Hemocoel","Lab","","","Xenorhabdus nematophilus","none","6/6/2097","2/12/2099"
"217",208,"Popillia japonica","Steinernema carpocapsae","Rhabditida","Steinernematidae","Italian","Larva","Hemocoel","Lab","","","Xenorhabdus nematophilus","none","6/6/2097","2/12/2099"
"218",209,"Popillia japonica","Steinernema carpocapsae","Rhabditida","Steinernematidae","Mexican","Larva","Hemocoel","Lab","","","Xenorhabdus nematophilus","none","6/6/2097","2/12/2099"
"219",210,"Popillia japonica","Steinernema carpocapsae","Rhabditida","Steinernematidae","Pye","Larva","Hemocoel","Lab","","","Xenorhabdus nematophilus","none","6/6/2097","2/12/2099"
"220",211,"Popillia japonica","Steinernema carpocapsae","Rhabditida","Steinernematidae","Ohio","Larva","Hemocoel","Lab","","","Xenorhabdus nematophilus","none","6/6/2097","2/12/2099"
"221",212,"Popillia japonica","Steinernema anomali","Rhabditida","Steinernematidae","","Larva","Hemocoel","Lab","","","Xenorhabdus nematophilus","none","6/6/2097","2/12/2099"
"222",213,"Popillia japonica","Steinernema glaseri","Rhabditida","Steinernematidae","","Larva","Hemocoel","Lab","","","Xenorhabdus nematophilus","none","6/6/2097","2/12/2099"
"223",214,"Popillia japonica","Heterorhabditis bacteriophora","Rhabditida","Heterorhabditidae","NC","Larva","Hemocoel","Lab","","potted yew","Photorhabdus sp.","none","6/6/2097","2/12/2099"
"224",215,"Melolontha afflicta","Steinernema bothynodera","Rhabditida","Steinernematidae","","Larva","Hemocoel","Field","Europe","","Xenorhabdus bovienii","none","6/9/2097","12/28/2000"
"225",216,"Amphimallon solstitialis","Steinernema georgica","Rhabditida","Steinernematidae","","Larva","Hemocoel","Field","Europe","","Xenorhabdus bovienii","none","6/9/2097","2/12/2099"
"226",217,"Eupeodes corollae","Steinernema feltiae","Rhabditida","Steinernematidae","","Larva","Hemocoel","Lab","","","Xenorhabdus bovienii","none","6/14/2097","2/12/2099"
"227",218,"Eupeodes corollae","Heterorhabditis bacteriophora","Rhabditida","Heterorhabditidae","T-327","Larva","Hemocoel","Lab","","","Photorhabdus luminescens","none","6/14/2097","2/12/2099"
"228",219,"Pterostichus cupreus","Heterorhabditis bacteriophora","Rhabditida","Heterorhabditidae","T-327","Larva","Hemocoel","Lab","","","Photorhabdus luminescens","none","6/14/2097","8/29/2000"
"229",220,"Pterostichus cupreus","Heterorhabditis bacteriophora","Rhabditida","Heterorhabditidae","HSH","Larva","Hemocoel","Lab","","","Photorhabdus luminescens","none","6/14/2097","12/28/2000"
"230",221,"Pterostichus cupreus","Heterorhabditis sp.","Rhabditida","Heterorhabditidae","HD 01","Larva","Hemocoel","Lab","","","Photorhabdus luminescens","none","6/14/2097","12/28/2000"
"231",222,"Platynus dorsalis","Heterorhabditis sp.","Rhabditida","Heterorhabditidae","HD 01","Larva","Hemocoel","Lab","","","Photorhabdus luminescens","none","6/14/2097","2/12/2099"
"232",223,"Eupeodes corollae","Heterorhabditis sp.","Rhabditida","Heterorhabditidae","HD 01","Larva","Hemocoel","Lab","","","Photorhabdus luminescens","none","6/14/2097","2/12/2099"
"233",224,"Pterostichus cupreus","Steinernema feltiae","Rhabditida","Steinernematidae","","Larva","Hemocoel","Lab","","","Xenorhabdus bovienii","none","6/14/2097","12/28/2000"
"234",31,"Platynus dorsalis","Steinernema feltiae","Rhabditida","Steinernematidae","","Adult","","Field","Germany","","Xenorhabdus bovienii","none","6/18/2097","2/12/2099"
