"","presence","Host","Pathogen","Order","Family","StageInfected","TissueInfected","FieldOrLab","Country","AssociatedBacterium","IntermediateHost"
"1",1,"Bibio ferruginatus","Steinernema affinis","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Denmark","Xenorhabdus bovienii","none"
"2",1,"Bibio hortulana","Steinernema affinis","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Denmark","Xenorhabdus bovienii","none"
"3",1,"Dilophus vulgaris","Steinernema affinis","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Denmark","Xenorhabdus bovienii","none"
"4",1,"Helina duplicata","Steinernema affinis","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Germany","Xenorhabdus bovienii","none"
"5",1,"Anomala dubia","Steinernema arenarium","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Russia","Xenorhabdus sp.","none"
"6",1,"Anomala dubia","Steinernema arenarium","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Russia","Xenorhabdus sp.","none"
"7",1,"Melolontha hippocastani","Steinernema arenarium","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Russia","Xenorhabdus sp.","none"
"8",1,"Agriotes lineatus","Steinernema carpocapsae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Russia","Xenorhabdus nematophilus","none"
"9",1,"Popillia japonica","Steinernema carpocapsae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","USA","Xenorhabdus nematophilus","none"
"10",1,"Popillia japonica","Steinernema carpocapsae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","USA","Xenorhabdus nematophilus","none"
"11",1,"Graphognathus leucoloma","Steinernema carpocapsae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Argentina","Xenorhabdus nematophilus","none"
"12",1,"Otiorhynchus sulcatus","Steinernema carpocapsae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","France","Xenorhabdus nematophilus","none"
"13",1,"Cleonis mendicus","Steinernema carpocapsae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Italy","Xenorhabdus nematophilus","none"
"14",1,"Hylobius pales","Steinernema carpocapsae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Sweden","Xenorhabdus nematophilus","none"
"15",1,"Vespula sp.","Steinernema carpocapsae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Tasmania","Xenorhabdus nematophilus","none"
"16",1,"Cephalcia lariciphila","Steinernema carpocapsae","Rhabditida","Steinernematidae","Pupa","Hemocoel","Field","United Kingdom","Xenorhabdus nematophilus","none"
"17",1,"Rhagoletis pomonella","Steinernema carpocapsae","Rhabditida","Steinernematidae","Pupa","Hemocoel","Field","USA","Xenorhabdus nematophilus","none"
"18",1,"Cydia pomonella","Steinernema carpocapsae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","USA","Xenorhabdus nematophilus","none"
"19",1,"Cydia pomonella","Steinernema carpocapsae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","USA","Xenorhabdus nematophilus","none"
"20",1,"Cydia pomonella","Steinernema carpocapsae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Mexico","Xenorhabdus nematophilus","none"
"21",1,"Cydia pomonella","Steinernema carpocapsae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Czech Republic","Xenorhabdus nematophilus","none"
"22",1,"Cydia pomonella","Steinernema carpocapsae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Poland","Xenorhabdus nematophilus","none"
"23",1,"Cydia pomonella","Steinernema carpocapsae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Poland, Italy","Xenorhabdus nematophilus","none"
"24",1,"Cydia pomonella","Steinernema carpocapsae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Italy","Xenorhabdus nematophilus","none"
"25",1,"Cydia pomonella","Steinernema carpocapsae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","","Xenorhabdus nematophilus","none"
"26",1,"Agrotis segetum","Steinernema carpocapsae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Poland","Xenorhabdus nematophilus","none"
"27",1,"Mamestra brassicae","Steinernema carpocapsae","Rhabditida","Steinernematidae","LarvaPupa","Hemocoel","Field","Poland","Xenorhabdus nematophilus","none"
"28",1,"Helicoverpa armigera","Steinernema carpocapsae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","USA","Xenorhabdus nematophilus","none"
"29",1,"Pieris brassicae","Steinernema carpocapsae","Rhabditida","Steinernematidae","LarvaPupa","Hemocoel","Field","Poland","Xenorhabdus nematophilus","none"
"30",1,"Vitacea polistiformis","Steinernema carpocapsae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","USA","Xenorhabdus nematophilus","none"
"31",1,"Semiothisa pumila","Steinernema carpocapsae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","","Xenorhabdus nematophilus","none"
"32",1,"Pardileus calceatus","Steinernema feltiae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","","Xenorhabdus bovienii","none"
"33",1,"Selatosomus melancholicus","Steinernema feltiae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Russia","Xenorhabdus bovienii","none"
"34",1,"Pytho depressus","Steinernema feltiae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Russia","Xenorhabdus bovienii","none"
"35",1,"Rhagium inquisitor","Steinernema feltiae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Russia","Xenorhabdus bovienii","none"
"36",1,"Amphimallon solstitialis","Steinernema feltiae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","","Xenorhabdus bovienii","none"
"37",1,"Melolontha afflicta","Steinernema feltiae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","","Xenorhabdus bovienii","none"
"38",1,"Onitis alexis","Steinernema feltiae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","","Xenorhabdus bovienii","none"
"39",1,"Pentodon algerinum","Steinernema feltiae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","","Xenorhabdus bovienii","none"
"40",1,"Capnodis tenebrionis","Steinernema feltiae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Spain","Xenorhabdus bovienii","none"
"41",1,"Graphognathus leucoloma","Steinernema feltiae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","New Zealand","Xenorhabdus bovienii","none"
"42",1,"Otiorhynchus sulcatus","Steinernema feltiae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Tazmania","Xenorhabdus bovienii","none"
"43",1,"Otiorhynchus ovatus","Steinernema feltiae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Finland","Xenorhabdus bovienii","none"
"44",1,"Otiorhynchus dubius","Steinernema feltiae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Finland","Xenorhabdus bovienii","none"
"45",1,"Phyllobius urticae","Steinernema feltiae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Germany","Xenorhabdus bovienii","none"
"46",1,"Bothynoderis punctiventris","Steinernema feltiae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","","Xenorhabdus bovienii","none"
"47",1,"Temnorrrhinus mendicus","Steinernema feltiae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Italy","Xenorhabdus bovienii","none"
"48",1,"Hylobius abietis","Steinernema feltiae","Rhabditida","Steinernematidae","Adult","Hemocoel","Field","Czech Republic","Xenorhabdus bovienii","none"
"49",1,"Bibio hortulana","Steinernema feltiae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Denmark","Xenorhabdus bovienii","none"
"50",1,"Bibio ferruginatus","Steinernema feltiae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Denmark","Xenorhabdus bovienii","none"
"51",1,"Bibio fulviventris","Steinernema feltiae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Germany","Xenorhabdus bovienii","none"
"52",1,"Bibio laniger","Steinernema feltiae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Germany","Xenorhabdus bovienii","none"
"53",1,"Bibio varipes","Steinernema feltiae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Germany","Xenorhabdus bovienii","none"
"54",1,"Helicoverpa armigera","Steinernema feltiae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Australia","Xenorhabdus bovienii","none"
"55",1,"Crambus simplex","Steinernema feltiae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","New Zealand","Xenorhabdus bovienii","none"
"56",1,"Leucania acontistis","Steinernema feltiae","Rhabditida","Steinernematidae","Pupa","Hemocoel","Field","New Zealand","Xenorhabdus bovienii","none"
"57",1,"Agrotis ipsilon","Steinernema feltiae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","New Zealand, Spain","Xenorhabdus bovienii","none"
"58",1,"Agrotis segetum","Steinernema feltiae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Spain","Xenorhabdus bovienii","none"
"59",1,"Agrotinae sp.","Steinernema feltiae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Russia","Xenorhabdus bovienii","none"
"60",1,"Migdolus fryanus","Steinernema glaseri","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Brasil","Xenorhabdus poinarii","none"
"61",1,"Popillia japonica","Steinernema glaseri","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","USA","Xenorhabdus poinarii","none"
"62",1,"Strigoderma arboricola","Steinernema glaseri","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","USA","Xenorhabdus poinarii","none"
"63",1,"Anomala flavipennis","Steinernema glaseri","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","USA","Xenorhabdus poinarii","none"
"64",1,"Cephalcia abietis","Steinernema kraussei ","Rhabditida","Steinernematidae","Pupa","Hemocoel","Field","Germany, Czech Republic, Austria","Xenorhabdus bovienii","none"
"65",1,"Cephalcia abietis","Steinernema kraussei","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Germany","Xenorhabdus bovienii","none"
"66",1,"Cephalcia abietis","Steinernema kraussei","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Czech Republic","Xenorhabdus bovienii","none"
"67",1,"Cephalcia abietis","Steinernema kraussei","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Austria","Xenorhabdus bovienii","none"
"68",1,"Cephalcia falleni","Steinernema kraussei","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Germany","Xenorhabdus bovienii","none"
"69",1,"Anomala cuprea","Steinernema kushidai","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Japan","Xenorhabdus japonica","none"
"70",1,"Neocurtilla hexadactyla","Steinernema neocurtillis","Rhabditida","Steinernematidae","Adult","Hemocoel","Field","USA","undescribed","none"
"71",1,"Heliothis sp.","Steinernema rarum","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Argentina","Xenorhabdus sp.","none"
"72",1,"Helicoverpa zea","Steinernema riobravis","Rhabditida","Steinernematidae","Pupa","Hemocoel","Field","USA","undescribed","none"
"73",1,"Spodoptera frugiperda","Steinernema riobravis","Rhabditida","Steinernematidae","Pupa","Hemocoel","Field","USA","undescribed","none"
"74",1,"Scapteriscus vicinus","Steinernema scapterisci","Rhabditida","Steinernematidae","Adult","Hemocoel","Field","Uruguay","Xenorhabdus sp.","none"
"75",1,"Scapteriscus borellii","Steinernema scapterisci","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Argentina","Xenorhabdus sp.","none"
"76",1,"Scapteriscus vicinus","Steinernema scapterisci","Rhabditida","Steinernematidae","Adult","Hemocoel","Field","USA","Xenorhabdus sp.","none"
"77",1,"Scapteriscus borellii","Steinernema scapterisci","Rhabditida","Steinernematidae","Adult","Hemocoel","Field","USA","Xenorhabdus sp.","none"
"78",1,"Phyllopertha horticola","Steinernema sp.","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","The Netherlands","undescribed","none"
"79",1,"Amphimallon solstitialis","Steinernema sp.","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","The Netherlands","undescribed","none"
"80",1,"Scitala sericans","Steinernema sp.","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Australia","undescribed","none"
"81",1,"Adoryphorus couloni","Steinernema sp.","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Australia","undescribed","none"
"82",1,"Leptinotarsa decemlineata","Steinernema sp.","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","","undescribed","none"
"83",1,"Graphognathus sp.","Steinernema sp.","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","","undescribed","none"
"84",1,"Cryptorrhynchus lapathi","Steinernema sp.","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Czech Republic","undescribed","none"
"85",1,"Acantholyda posticalis","Steinernema sp.","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Poland","undescribed","none"
"86",1,"Operophtera brumata","Steinernema sp.","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","","undescribed","none"
"87",1,"Agrotis ipsilon","Steinernema sp.","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Spain","undescribed","none"
"88",1,"Agrotis segetum","Steinernema sp.","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Spain","undescribed","none"
"89",1,"Sesamia nonagrioides","Steinernema sp.","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Spain","undescribed","none"
"90",1,"Reticulitermes flavipes","Neosteinernema longicurvicaudum","Rhabditida","Steinernematidae","AdultNymph","Head","Field","USA","undescribed","none"
"91",1,"Popillia japonica","Heterorhabditis bacteriophora","Rhabditida","Heterorhabditidae","Larva","Hemocoel","Field","USA","Photorhabdus luminescens","none"
"92",1,"Amphimallon solstitialis","Heterorhabditis bacteriophora","Rhabditida","Heterorhabditidae","Larva","Hemocoel","Field","Germany","Photorhabdus luminescens","none"
"93",1,"Cyclocephala hirta","Heterorhabditis bacteriophora","Rhabditida","Heterorhabditidae","Larva","Hemocoel","Field","USA","Photorhabdus luminescens","none"
"94",1,"Phyllophaga sp.","Heterorhabditis bacteriophora","Rhabditida","Heterorhabditidae","Larva","Hemocoel","Field","USA","Photorhabdus luminescens","none"
"95",1,"Diabrotica balteata","Heterorhabditis bacteriophora","Rhabditida","Heterorhabditidae","Larva","Hemocoel","Field","USA","Photorhabdus luminescens","none"
"96",1,"Curculio caryae","Heterorhabditis bacteriophora","Rhabditida","Heterorhabditidae","Larva","Hemocoel","Field","USA","Photorhabdus luminescens","none"
"97",1,"Diaprepes abbreviatus","Heterorhabditis bacteriophora","Rhabditida","Heterorhabditidae","Larva","Hemocoel","Field","USA","Photorhabdus luminescens","none"
"98",1,"Diaprepes abbreviatus","Heterorhabditis bacteriophora","Rhabditida","Heterorhabditidae","Larva","Hemocoel","Field","USA","Photorhabdus luminescens","none"
"99",1,"Helicoverpa punctigera","Heterorhabditis bacteriophora","Rhabditida","Heterorhabditidae","Larva","Hemocoel","Field","Australia","Photorhabdus luminescens","none"
"100",1,"Helicoverpa zea","Heterorhabditis bacteriophora","Rhabditida","Heterorhabditidae","Larva","Hemocoel","Field","USA","Photorhabdus luminescens","none"
"101",1,"Diatraea grandiosella","Heterorhabditis bacteriophora","Rhabditida","Heterorhabditidae","Larva","Hemocoel","Field","USA","Photorhabdus sp.","none"
"102",1,"Popillia japonica","Heterorhabditis megidis","Rhabditida","Heterorhabditidae","Larva","Hemocoel","Field","USA","Photorhabdus sp.","none"
"103",1,"Popillia japonica","Heterorhabditis megidis","Rhabditida","Heterorhabditidae","Larva","Hemocoel","Field","USA","Photorhabdus sp.","none"
"104",1,"Phyllopertha horticola","Heterorhabditis megidis","Rhabditida","Heterorhabditidae","Larva","Hemocoel","Field","The Netherlands","Photorhabdus sp.","none"
"105",1,"Phyllopertha horticola","Heterorhabditis megidis","Rhabditida","Heterorhabditidae","Larva","Hemocoel","Field","The Netherlands","Photorhabdus sp.","none"
"106",1,"Phyllopertha horticola","Heterorhabditis megidis","Rhabditida","Heterorhabditidae","Larva","Hemocoel","Field","The Netherlands","Photorhabdus sp.","none"
"107",1,"Phyllopertha horticola","Heterorhabditis megidis","Rhabditida","Heterorhabditidae","Larva","Hemocoel","Field","The Netherlands","Photorhabdus sp.","none"
"108",1,"Phyllopertha horticola","Heterorhabditis megidis","Rhabditida","Heterorhabditidae","Larva","Hemocoel","Field","The Netherlands","Photorhabdus sp.","none"
"109",1,"Amphimallon solstitialis","Heterorhabditis megidis","Rhabditida","Heterorhabditidae","Larva","Hemocoel","Field","The Netherlands","Photorhabdus sp.","none"
"110",1,"Amphimallon solstitialis","Heterorhabditis megidis","Rhabditida","Heterorhabditidae","Larva","Hemocoel","Field","The Netherlands","Photorhabdus sp.","none"
"111",1,"Otiorhynchus sulcatus","Heterorhabditis megidis","Rhabditida","Heterorhabditidae","Larva","Hemocoel","Field","Germany","Photorhabdus sp.","none"
"112",1,"Heteronychus arator","Heterorhabditis zealandica","Rhabditida","Heterorhabditidae","Larva","Hemocoel","Field","New Zealand","Photorhabdus sp.","none"
"113",1,"Agriotes ponticus","Heterorhabditis sp.","Rhabditida","Heterorhabditidae","Larva","Hemocoel","Field","Republica Moldova","Photorhabdus sp.","none"
"114",1,"Hoplocampa testudinae","Heterorhabditis sp.","Rhabditida","Heterorhabditidae","Larva","Hemocoel","Field","Poland","Photorhabdus sp.","none"
"115",1,"Phyllopertha horticola","Heterorhabditis sp.","Rhabditida","Heterorhabditidae","Larva","Hemocoel","Field","Germany","Photorhabdus sp.","none"
"116",1,"Popillia japonica","Heterorhabditis sp.","Rhabditida","Heterorhabditidae","Larva","Hemocoel","Field","USA","Photorhabdus sp.","none"
"117",1,"Popillia japonica","Heterorhabditis sp.","Rhabditida","Heterorhabditidae","Larva","Hemocoel","Field","USA","Photorhabdus sp.","none"
"118",1,"Lepidiota crinita","Heterorhabditis sp.","Rhabditida","Heterorhabditidae","Larva","Hemocoel","Field","Australia","Photorhabdus sp.","none"
"119",1,"Lepidiota negatoria","Heterorhabditis sp.","Rhabditida","Heterorhabditidae","Larva","Hemocoel","Field","Australia","Photorhabdus sp.","none"
"120",1,"Lepidiota picticollis","Heterorhabditis sp.","Rhabditida","Heterorhabditidae","Larva","Hemocoel","Field","Australia","Photorhabdus sp.","none"
"121",1,"Antitrogus consanguineus","Heterorhabditis sp.","Rhabditida","Heterorhabditidae","Larva","Hemocoel","Field","Australia","Photorhabdus sp.","none"
"122",1,"Graphognathus leucoloma","Heterorhabditis sp.","Rhabditida","Heterorhabditidae","Larva","Hemocoel","Field","Australia","Photorhabdus sp.","none"
"123",1,"Graphognathus leucoloma","Heterorhabditis sp.","Rhabditida","Heterorhabditidae","Larva","Hemocoel","Field","USA, Australia","Photorhabdus lsp.","none"
"124",1,"Cylas formicarius","Heterorhabditis sp.","Rhabditida","Heterorhabditidae","Larva","Hemocoel","Field","Cuba","Photorhabdus sp.","none"
"125",1,"Pachnaeus litus","Heterorhabditis sp.","Rhabditida","Heterorhabditidae","Larva","Hemocoel","Field","Cuba","Photorhabdus sp.","none"
"126",1,"Pericoptus truncatus","Heterorhabditis sp.","Rhabditida","Heterorhabditidae","Larva","Hemocoel","Field","New Zealand","Photorhabdus sp.","none"
"127",1,"Hepialus californicus","Heterorhabditis hepialus ","Rhabditida","Heterorhabditidae","Larva","Hemocoel","Field","USA","Photorhabdus sp.","none"
"128",1,"Gasterocercodes brasiliensis","Heterorhabditis sp.","Rhabditida","Heterorhabditidae","Larva","Hemocoel","Field","","Photorhabdus sp.","none"
"129",1,"Dilophus vulgaris","Steinernema feltiae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","Denmark","Xenorhabdus bovienii","none"
"130",1,"Acheta domesticus","Steinernema scapterisci","Rhabditida","Steinernematidae","Adult","hemocoel","Lab","USA","none","none"
"131",1,"Scapteriscus borellii","Steinernema scapterisci","Rhabditida","Steinernematidae","Adult","hemocoel","Lab","USA","none","none"
"132",1,"Scapteriscus vicinus","Steinernema scapterisci","Rhabditida","Steinernematidae","Adult","hemocoel","Lab","USA","none","none"
"133",1,"Heteronychus arator","Heterorhabditis zealandica","Rhabditida","Heterorhabditidae","Larva","Hemocoel","Field","New Zealand","Photorhabdus sp.","none"
"134",1,"Costelytra zealandica","Cephalobellus costelytrae","Rhabditida","Cephalobidae","Larva","","Field","New Zealand","none",""
"135",1,"Austrosimulium multicorne","Austromemermis namis","Stichosomida","Mermithidae","","","Field","New Zealand","none",""
"136",1,"Neocurupira hudsoni","Blepharomermis craigi","Stichosomida","Mermithidae","","","Field","New Zealand","none",""
"137",1,"Costelytra zealandica","Psammomermis canterburiensis","Stichosomida","Mermithidae","","","Field","New Zealand","none",""
"138",1,"Sirex noctilio","Delandenus siricidicola","Stichosomida","Mermithidae","","","Field","New Zealand","none",""
"139",1,"Platyzosteria novaeseelandiae","Blatticola tuapakae","Rhabditida","Thelastomatidae","","","Field","New Zealand","none",""
"140",1,"Platyzosteria novaeseelandiae","Protrellina gurri ","Rhabditida","Thelastomatidae","","","Field","New Zealand","none",""
"141",1,"Pericoptus truncatus","Tetleyus pericopti","Rhabditida","Thelastomatidae","Larva","","Field","New Zealand","none",""
"142",1,"Eudonia sabulosella","Steinernema feltiae","Rhabditida","Steinernematidae","","Hemocoel","Field","New Zealand","Xenorhabdus bovienii","none"
"143",1,"Popillia japonica","Heterorhabditis bacteriophora","Rhabditida","Heterorhabditidae","Larva","Hemocoel","Field","","Photorhabdus luminescens","none"
"144",1,"Cyclocephala borealis","Steinernema carpocapsae","Rhabditida","Steinernematidae","Larva","hemocoel","Field","","Xenorhabdus nematophilus","none"
"145",1,"Cyclocephala borealis","Heterorhabditis bacteriophora","Rhabditida","Heterorhabditidae","Larva","Hemocoel","Field","","Photorhabdus luminescens","none"
"146",1,"Cyclocephala hirta","Heterorhabditis bacteriophora","Rhabditida","Heterorhabditidae","Larva","Hemocoel","Field","","Photorhabdus luminescens","none"
"147",1,"Popillia japonica","Heterorhabditis bacteriophora","Rhabditida","Heterorhabditidae","Larva","Hemocoel","Field","USA","Photorhabdus luminescens","none"
"148",1,"Popillia japonica","Heterorhabditis sp.","Rhabditida","Heterorhabditidae","Larva","Hemocoel","Lab","","Photorhabdus sp.","none"
"149",1,"Popillia japonica","Steinernema carpocapsae","Rhabditida","Steinernematidae","Larva","Hemocoel","Field","","Xenorhabdus nematophilus","none"
"150",1,"Rhizotrogus majalis","Steinernema carpocapsae","Rhabditida","Steinernematidae","Larva","hemocoel","Field","","Xenorhabdus nematophilus","none"
